HGNC symbol,logFC,AveExpr,P.Value,adj.P.Val
NAT10,-0.04792062587179924,5.17577251775054,0.48085932239248697,0.5769409073767693
NFYB,-0.06330334148629024,5.817729648999737,0.4489952349593709,0.546754182747859
CWF19L2,-0.03352625780143992,4.334188275547724,0.6111345063543354,0.6956669054824741
KIAA1549,-0.04625408476630222,3.910770024983171,0.7963786438854019,0.8474430248345509
STOM,0.03588431233874445,9.385033946467162,0.7067958431612792,0.7767152095148351
BDP1,0.05781045247093175,5.920247888934984,0.44908416190906,0.54675705477563
C1orf216,0.0503636931457585,4.589929898214952,0.5624145967103836,0.6529765636976849
EIF3J,0.06766064979584918,5.737130566430594,0.45381498601250647,0.5509981628877797
LRRC8D,-0.04240986512323097,4.3722822016147935,0.6077093917259211,0.6928471206742586
PSMD7,-0.04069229828809018,6.099407325717945,0.4490453987745416,0.546754182747859
VHL,0.04249035823264702,5.030019869098691,0.5024178812727735,0.5979394197250376
PIN4,-0.01605133538689385,3.837752131497236,0.8274589543399287,0.8718068071014653
MINPP1,0.02351310732815781,3.939880864930248,0.7968813493175756,0.8477977605299049
TBPL1,0.02285257985141875,4.027168127721268,0.7359536358043132,0.8009628736336941
SLC7A8,-0.08833446829646618,5.402643606294871,0.46625151614023863,0.5635467182448289
BAZ1B,-0.02901209347675859,6.738346375344097,0.4696785611143838,0.5665955307059788
KLHL9,-0.05072786303724808,5.57364854759728,0.45894389218036113,0.556146386691693
HDAC2,0.03721771327816814,6.04699763207225,0.44973330861370986,0.5473698996814674
SFMBT1,0.00464109252666045,3.795132800832277,0.9503390188783992,0.9646990908238836
SMARCB1,0.03927948756511323,5.45534215191737,0.4670580834495538,0.5643399320457642
TLR5,-0.05293788997023441,4.131235115722734,0.6873948507259655,0.7604662576304696
ABHD11,-0.04349711255521527,3.962762249755796,0.7482198770509796,0.8105535439576358
PPP6R1,0.05559101521839604,6.283495253631085,0.4528270165923217,0.5501388164799006
BOD1L1,0.06071656365184186,6.296356419642448,0.45328139882576157,0.5505728531309433
ZNF791,-0.03497953898253048,5.0622250297056555,0.4948125275504192,0.5908037277898741
STK3,0.0359388495462305,4.826992342292198,0.5270659794775032,0.620327869741605
BTN2A1,-0.06544602431800328,5.729330957955318,0.4543785592739563,0.5515932413300638
RPS11,-0.0196046694943508,9.713110841100496,0.7777867524786873,0.833802943288894
ACP6,-0.02649145731362834,3.875203351364312,0.8111169805990883,0.8588061989155945
RPL13A,0.00932524027635395,10.1519209192416,0.9170595392908988,0.9402622842729164
GMPPA,0.06689296363430763,5.119197239505397,0.49308160722337946,0.5894295334995173
EARS2,-0.03467694108513264,4.301171529164858,0.6293371527444784,0.7117331775838932
PPIL1,-0.04148575651490471,4.18431811062329,0.6658528382233173,0.7425109681557386
ATG4C,9.594051027863592e-4,3.7957619167052106,0.9927413242662508,0.995591743399761
SDCBP,-0.05859335165984269,8.370455499011028,0.5908428970496977,0.6784552692914235
HAUS6,0.025358157687279,4.2036922791518325,0.6763264315113251,0.7512284758054826
MAN2B2,0.04429396009214947,6.408926107114411,0.45802891537545987,0.5553512779546325
CEP112,0.04470430740535125,4.526968430072836,0.5834132925011107,0.6723256022809209
ARMC5,0.01250734212185866,3.824695807893528,0.8903734601364794,0.9211915268151286
UPF1,0.03408991686527596,6.817226529385299,0.4751599058160906,0.5718748798342708
TRAPPC2,-0.00296521527869941,3.7775450203566887,0.9687911843066672,0.9778410481923276
ZNF202,-0.02177471694266408,3.984317879904639,0.7548844043888028,0.8154206609260233
ERCC2,-0.0219487525849682,3.955520535903288,0.7686218236702493,0.8263440936414989
CDK7,-0.02356706077523096,4.100227279979672,0.7043721540130297,0.7746752622379681
ZNF585B,-0.02311172070929235,3.968537792132545,0.7614852144345039,0.8209566029424891
PWP1,0.02858697580871183,5.467733790574424,0.4693112357618981,0.5663333962644984
PDCL3,-0.01776479058797075,3.947943880468333,0.7924575907785998,0.844646977212674
PUS1,0.02623890147194796,3.9306681417755183,0.7985506421121014,0.8489997501962133
FANCL,-0.01412875127566826,3.810630935330144,0.8916104530152362,0.9220613780786224
DGKQ,0.04381027652307878,4.795025997754771,0.5359882227763989,0.6290050881292963
CCSER2,0.07699221366645492,6.425836822033682,0.4597001735223104,0.556793298881579
FPR3,0.15670964730435255,5.183513100345854,0.49955682041019,0.5952275990274212
AP3B1,0.04034516630454909,5.9023013487823635,0.45471722781691826,0.5519413142318343
PKM,-0.04918453231755748,9.01767412637954,0.6699734530337119,0.7461316395605309
BIVM,0.04372508504457961,4.241350329481552,0.6660280612254719,0.7426188160018828
TVP23B,0.0281192467525404,4.0579626957318595,0.7463038538821525,0.8092951322350938
CIR1,-0.04659389128522395,5.344220060549015,0.4769365361321043,0.5735075929678202
CASP7,-0.04868097727502896,5.3748459296409,0.4765602264915745,0.5732386706452793
SEPTIN4,0.1057213080769639,5.336854333110467,0.4817759438584618,0.5778464223614629
ZNF277,-0.02934151319340561,4.176066392551724,0.6880928274102149,0.761062388605495
CIRBP,-0.04337242288648113,8.149548176640245,0.5761468277764785,0.6654732912693172
PLS3,-0.05194071852411675,8.425881285296684,0.604732862710194,0.6904205902732349
TCEAL9,-0.0640778862689082,5.526636823299348,0.4671275213665048,0.5643784283970344
RUNDC1,-0.03687855105937832,4.315029779636556,0.638435625736334,0.7193836494061069
SHQ1,0.01823552416597573,3.979418129977136,0.7841502667313993,0.8384437714802481
TCEANC2,0.01617251604407021,3.8692591658665623,0.8641125309247581,0.9012573681915932
VCPIP1,-0.04680006109146806,4.945116771867573,0.5177035542615631,0.6118018476240786
STX5,-0.04093649817470357,5.37008429701637,0.47731738573724225,0.5736899661001634
HLA-DPA1,0.05388423918468454,9.289076106558614,0.710437919561927,0.7797476698261169
EMILIN2,-0.1150292707254934,6.0000656410672395,0.45719531409798153,0.5546091933153691
HUS1,0.01432036118626678,3.958632741488257,0.8149603650679967,0.8615393624942804
UBE2I,-0.03018400225534634,6.481498314307147,0.4672693019971279,0.5644663136543169
KIAA1217,-0.1031768925029013,5.926404253687441,0.45775516853289255,0.5551538175222476
WDR44,0.03406971861707753,4.475714002072795,0.6073467641280699,0.6926151139285863
NT5C3B,-0.04371442511351553,5.0518359652408265,0.503677840757673,0.5991871279476824
TCF19,-0.02563800757025003,3.906568463987777,0.8356704462581995,0.8783633866856952
AGTR1,-0.07711232859821493,4.163926188100549,0.6828279648452401,0.7564089986731569
CRBN,-0.05423904200744811,5.602955145575626,0.46660767732280106,0.5638864423649138
SETD6,0.02506775947753592,4.0782675923414855,0.7344086530045298,0.7996290821715988
TNFAIP8,-0.07159869461545654,4.920236919132597,0.5229015036049658,0.616634554227621
PLOD1,0.06792048476947166,6.877563220755502,0.4848277317609667,0.5808573471057721
RPL7A,-0.02128755922463909,9.602720130693402,0.7841550286525354,0.8384437714802481
HEXIM1,0.04955866015204613,5.50071745342451,0.4750113105759015,0.5717418555489233
ZNF264,0.04545247670628427,5.041319068811423,0.5113748576773149,0.6059460823023718
PRELP,-0.11732591674284444,7.811839747519147,0.5563078708005198,0.6477894178595912
PRXL2A,0.08323299162432463,5.47945007233912,0.4783793040975072,0.574598429961649
SEM1,-0.05663859081544942,5.507501707129529,0.472545227934956,0.5693667692222306
KYNU,-0.05404498362515397,4.1442313030504065,0.7226240898302323,0.7899476821573811
PIP4K2A,0.05772185861163947,6.304959508429241,0.46433973941273354,0.5613715323383921
PFDN5,-0.04665524323347103,7.952522603931897,0.5653223880620124,0.6556936401500782
DENND11,-0.06748751368858041,6.219847038498971,0.4641373611601788,0.5611720356838452
ST8SIA4,0.0706642864018745,4.52105878359966,0.6123955181370256,0.6966799187168602
MRFAP1,-0.02591603656071317,7.932876426504837,0.5652763545874322,0.6556908842715975
ISOC2,-0.05128567796243377,4.453494916110341,0.604280084981443,0.6901659769077029
RDH10,0.11961338051143322,5.136172179830378,0.5124662864904643,0.6071413707344232
UTP4,0.06843519397655928,4.969432299108497,0.5264325360155406,0.6198252005658047
CNBP,-0.02470700828015282,8.250463510857351,0.5969591116781108,0.6834676702464969
CREBBP,0.04222970317638808,6.8401125812410495,0.48863614231897423,0.5850000973685671
